,Data_Type,sMape MLP,sMape RNN,Mase MLP,Mase RNN
0,Daily_data,,,,
1,0.09067569526333022,,,,
2,0.03691229350828697,,,,
3,9.088413673545366,,,,
4,4.265913859140875,,,,
